Number:,Age:,Weight:,Height:,Gender,Jump Flight Time (Android):,Jump Flight Time (BioPlux):,Predicted_LSQ,Predicted_MLP
196,22,78,170,Male,396,386,383.89284250398487,383.7763030349461
197,22,78,170,Male,397,389,384.31811266531724,384.20704783886544
198,22,78,170,Male,363,389,369.85892718001605,376.2778754976271
199,22,78,170,Male,430,393,398.3520279892861,403.02150811420864
2,31,70,175,Male,429,442,396.10462126772404,399.76657136014813
20,31,70,175,Male,396,358,382.0707059437552,382.4329579277266
200,22,78,170,Male,397,406,384.31811266531724,384.20704783886544
201,22,78,170,Male,413,370,391.1224352466355,391.4732273066421
202,22,78,170,Male,397,375,384.31811266531724,384.20704783886544
203,22,78,170,Male,381,401,377.513790083999,378.06429408613303
204,22,78,170,Male,380,403,377.08851992266665,377.7072913135326
205,22,78,170,Male,398,391,384.7433828266497,384.6377926427848
206,22,78,170,Male,397,398,384.31811266531724,384.20704783886544
207,22,78,170,Male,379,324,376.66324976133427,377.3502885409321
208,22,78,170,Male,380,370,377.08851992266665,377.7072913135326
209,22,78,170,Male,413,380,391.1224352466355,391.4732273066421
21,31,70,175,Male,518,338,,
210,22,78,170,Male,429,409,397.92675782795374,402.3402720888473
211,22,78,170,Male,378,388,376.2379796000019,377.00153686334454
212,22,78,170,Male,395,387,383.4675723426525,383.34555823102676
213,22,78,170,Male,397,344,384.31811266531724,384.20704783886544
214,22,78,170,Male,414,398,391.5477054079679,392.1217317084272
215,22,78,170,Male,379,393,376.66324976133427,377.3502885409321
216,22,78,170,Male,344,386,361.77879411470064,383.01225412762693
217,22,78,170,Male,331,348,356.2502820173796,393.0334756174935
218,22,78,170,Male,405,399,387.7202739559764,387.65300627022026
219,22,78,170,Male,380,366,377.08851992266665,377.7072913135326
22,31,70,175,Male,366,381,369.31260110378355,374.2541907357264
220,22,78,170,Male,396,400,383.89284250398487,383.7763030349461
221,22,78,170,Male,412,398,390.6971650853031,390.9915115700099
222,22,78,170,Male,412,409,390.6971650853031,390.9915115700099
223,22,78,170,Male,381,337,377.513790083999,378.06429408613303
224,22,78,170,Male,381,349,377.513790083999,378.06429408613303
225,22,78,170,Male,396,336,383.89284250398487,383.7763030349461
226,22,78,170,Male,397,396,384.31811266531724,384.20704783886544
227,22,78,170,Male,378,376,376.2379796000019,377.00153686334454
228,22,78,170,Male,758,366,,
229,22,78,170,Male,413,352,391.1224352466355,391.4732273066421
23,31,70,175,Male,265,386,,
230,22,78,170,Male,428,389,397.5014876666213,401.6590360634859
231,22,78,170,Male,381,385,377.513790083999,378.06429408613303
232,22,78,170,Male,411,401,390.2718949239707,390.5097958333776
233,22,78,170,Male,380,405,377.08851992266665,377.7072913135326
234,22,78,170,Male,395,354,383.4675723426525,383.34555823102676
235,22,78,170,Male,396,407,383.89284250398487,383.7763030349461
236,22,78,170,Male,396,379,383.89284250398487,383.7763030349461
237,22,78,170,Male,379,376,376.66324976133427,377.3502885409321
238,22,78,170,Male,412,384,390.6971650853031,390.9915115700099
239,22,78,170,Male,429,397,397.92675782795374,402.3402720888473
24,31,70,175,Male,395,391,381.6454357824228,382.0594383850404
240,22,78,170,Male,346,395,362.6293344373654,381.85695871826033
241,22,78,170,Male,412,375,390.6971650853031,390.9915115700099
242,22,78,170,Male,413,387,391.1224352466355,391.4732273066421
243,22,78,170,Male,396,364,383.89284250398487,383.7763030349461
244,22,78,170,Male,411,385,390.2718949239707,390.5097958333776
245,22,78,170,Male,348,346,363.4798747600302,380.8272745277539
246,22,78,170,Male,364,374,370.28419734134843,376.1480619672212
247,22,78,170,Male,380,394,377.08851992266665,377.7072913135326
248,22,78,170,Male,381,380,377.513790083999,378.06429408613303
249,22,78,170,Male,413,366,391.1224352466355,391.4732273066421
25,31,70,175,Male,397,382,382.4959761050876,382.80647747041274
250,22,78,170,Male,397,425,384.31811266531724,384.20704783886544
251,22,78,170,Male,381,390,377.513790083999,378.06429408613303
252,22,78,170,Male,380,398,377.08851992266665,377.7072913135326
253,22,78,170,Male,380,343,377.08851992266665,377.7072913135326
254,22,78,170,Male,414,405,391.5477054079679,392.1217317084272
255,22,78,170,Male,427,431,397.0762175052889,400.9778000381246
256,22,78,170,Male,412,390,390.6971650853031,390.9915115700099
257,22,78,170,Male,397,420,384.31811266531724,384.20704783886544
258,22,78,170,Male,380,384,377.08851992266665,377.7072913135326
259,22,78,170,Male,380,421,377.08851992266665,377.7072913135326
26,31,70,175,Male,381,367,375.6916535237694,376.83016478743383
260,22,78,170,Male,412,354,390.6971650853031,390.9915115700099
261,22,78,170,Male,348,387,363.4798747600302,380.8272745277539
262,22,78,170,Male,396,370,383.89284250398487,383.7763030349461
263,22,78,170,Male,461,402,411.53540299059017,427.1574300562969
264,22,78,170,Male,416,421,392.39824573063265,393.4842037591498
265,22,78,170,Male,398,376,384.7433828266497,384.6377926427848
266,22,78,170,Male,380,366,377.08851992266665,377.7072913135326
267,22,78,170,Male,407,397,388.57081427864114,388.5829328868485
268,22,78,170,Male,397,326,384.31811266531724,384.20704783886544
269,22,78,170,Male,379,407,376.66324976133427,377.3502885409321
27,31,70,175,Male,365,373,368.8873309424511,374.22162693519243
270,22,78,170,Male,357,347,367.30730621202173,377.05675668006245
271,22,78,170,Male,416,402,392.39824573063265,393.4842037591498
272,22,78,170,Male,395,375,383.4675723426525,383.34555823102676
273,22,78,170,Male,412,397,390.6971650853031,390.9915115700099
274,22,78,170,Male,396,381,383.89284250398487,383.7763030349461
275,22,78,170,Male,411,384,390.2718949239707,390.5097958333776
276,22,78,170,Male,396,369,383.89284250398487,383.7763030349461
277,22,78,170,Male,379,373,376.66324976133427,377.3502885409321
278,22,78,170,Male,396,344,383.89284250398487,383.7763030349461
279,22,78,170,Male,398,392,384.7433828266497,384.6377926427848
280,22,78,170,Male,395,371,383.4675723426525,383.34555823102676
281,22,78,170,Male,379,355,376.66324976133427,377.3502885409321
282,22,78,170,Male,412,408,390.6971650853031,390.9915115700099
283,22,78,170,Male,411,389,390.2718949239707,390.5097958333776
284,22,78,170,Male,395,358,383.4675723426525,383.34555823102676
285,22,78,170,Male,364,393,370.28419734134843,376.1480619672212
286,22,78,170,Male,397,409,384.31811266531724,384.20704783886544
287,22,78,170,Male,395,384,383.4675723426525,383.34555823102676
288,22,78,170,Male,429,379,397.92675782795374,402.3402720888473
289,22,78,170,Male,396,399,383.89284250398487,383.7763030349461
29,31,70,175,Male,398,400,382.92124626642,383.17999701309895
290,22,78,170,Male,388,374,380.4906812133258,380.5633134943361
291,22,78,170,Male,428,368,397.5014876666213,401.6590360634859
292,22,78,170,Male,411,398,390.2718949239707,390.5097958333776
293,22,78,170,Male,379,341,376.66324976133427,377.3502885409321
294,22,78,170,Male,396,368,383.89284250398487,383.7763030349461
295,22,78,170,Male,361,383,369.00838685735124,376.5375025584389
296,22,78,170,Male,396,396,383.89284250398487,383.7763030349461
297,22,78,170,Male,413,369,391.1224352466355,391.4732273066421
298,22,78,170,Male,395,311,383.4675723426525,383.34555823102676
299,22,78,170,Male,413,337,391.1224352466355,391.4732273066421
3,31,70,175,Male,421,383,392.7024599770649,394.0218721237156
30,31,70,175,Male,416,393,390.57610917040296,390.8485926416592
300,22,78,170,Male,380,377,377.08851992266665,377.7072913135326
301,22,78,170,Male,398,367,384.7433828266497,384.6377926427848
302,22,78,170,Male,428,412,397.5014876666213,401.6590360634859
303,22,78,170,Male,380,394,377.08851992266665,377.7072913135326
304,22,78,170,Male,363,373,369.85892718001605,376.2778754976271
305,22,78,170,Male,412,352,390.6971650853031,390.9915115700099
306,22,78,170,Male,380,375,377.08851992266665,377.7072913135326
307,22,78,170,Male,365,415,370.7094675026808,376.06711945650653
308,22,78,170,Male,365,356,370.7094675026808,376.06711945650653
309,22,78,170,Male,395,385,383.4675723426525,383.34555823102676
31,31,70,175,Male,294,400,,
310,22,78,170,Male,380,380,377.08851992266665,377.7072913135326
311,22,78,170,Male,378,337,376.2379796000019,377.00153686334454
312,22,78,170,Male,378,250,376.2379796000019,377.00153686334454
313,22,78,170,Male,365,380,370.7094675026808,376.06711945650653
314,22,78,170,Male,363,365,369.85892718001605,376.2778754976271
315,22,78,170,Male,396,412,383.89284250398487,383.7763030349461
316,22,78,170,Male,412,404,390.6971650853031,390.9915115700099
317,22,78,170,Male,364,407,370.28419734134843,376.1480619672212
318,22,78,170,Male,396,380,383.89284250398487,383.7763030349461
319,22,78,170,Male,412,414,390.6971650853031,390.9915115700099
320,22,78,170,Male,380,387,377.08851992266665,377.7072913135326
321,22,78,170,Male,412,406,390.6971650853031,390.9915115700099
322,22,78,170,Male,426,393,396.65094734395655,400.29656401276327
323,22,78,170,Male,411,409,390.2718949239707,390.5097958333776
324,22,78,170,Male,394,397,383.0423021813201,382.9148134271074
325,22,78,170,Male,394,410,383.0423021813201,382.9148134271074
326,22,78,170,Male,428,367,397.5014876666213,401.6590360634859
327,22,78,170,Male,397,414,384.31811266531724,384.20704783886544
328,22,78,170,Male,397,412,384.31811266531724,384.20704783886544
329,22,78,170,Male,397,426,384.31811266531724,384.20704783886544
33,31,70,175,Male,178,371,,
330,22,78,170,Male,411,383,390.2718949239707,390.5097958333776
331,22,78,170,Male,397,370,384.31811266531724,384.20704783886544
332,22,78,170,Male,428,409,397.5014876666213,401.6590360634859
333,22,78,170,Male,412,410,390.6971650853031,390.9915115700099
334,22,78,170,Male,403,407,386.8697336333116,386.7915166623815
335,22,78,170,Male,383,369,378.36433040666384,378.7782996313338
336,22,78,170,Male,384,383,378.7896005679962,379.13530240393436
337,22,78,170,Male,398,448,384.7433828266497,384.6377926427848
338,22,78,170,Male,380,397,377.08851992266665,377.7072913135326
339,22,78,170,Male,415,385,391.9729755693003,392.80296773378853
340,22,78,170,Male,414,397,391.5477054079679,392.1217317084272
341,22,78,170,Male,365,385,370.7094675026808,376.06711945650653
342,22,78,170,Male,399,390,385.16865298798206,385.06853744670417
343,22,78,170,Male,414,392,391.5477054079679,392.1217317084272
344,22,78,170,Male,380,376,377.08851992266665,377.7072913135326
345,22,78,170,Male,393,400,382.61703201998773,382.484068623188
346,22,78,170,Male,399,382,385.16865298798206,385.06853744670417
347,22,78,170,Male,393,377,382.61703201998773,382.484068623188
348,22,78,170,Male,412,375,390.6971650853031,390.9915115700099
349,22,78,170,Male,402,401,386.4444634719792,386.3607718584621
35,31,70,175,Male,435,414,398.65624223571837,404.5222787104938
350,22,78,170,Male,413,307,391.1224352466355,391.4732273066421
351,22,78,170,Male,367,394,371.5600078253456,375.99591536685955
352,22,78,170,Male,341,343,360.5029836307035,385.1134385388678
353,22,78,170,Male,381,389,377.513790083999,378.06429408613303
354,22,78,170,Male,398,368,384.7433828266497,384.6377926427848
355,22,78,170,Male,380,409,377.08851992266665,377.7072913135326
356,22,78,170,Male,413,402,391.1224352466355,391.4732273066421
357,22,78,170,Male,381,385,377.513790083999,378.06429408613303
358,22,78,170,Male,380,377,377.08851992266665,377.7072913135326
359,22,78,170,Male,398,397,384.7433828266497,384.6377926427848
360,22,78,170,Male,413,376,391.1224352466355,391.4732273066421
361,22,78,170,Male,399,395,385.16865298798206,385.06853744670417
362,22,78,170,Male,384,409,378.7896005679962,379.13530240393436
363,22,78,170,Male,382,359,377.93906024533146,378.42129685873346
364,22,78,170,Male,413,410,391.1224352466355,391.4732273066421
365,22,78,170,Male,381,380,377.513790083999,378.06429408613303
366,22,78,170,Male,399,390,385.16865298798206,385.06853744670417
367,22,78,170,Male,364,395,370.28419734134843,376.1480619672212
368,22,78,170,Male,412,408,390.6971650853031,390.9915115700099
369,22,78,170,Male,371,366,373.26108847067513,376.0540775245338
37,31,70,175,Male,447,394,403.759484171707,414.0336934111852
370,22,78,170,Male,397,397,384.31811266531724,384.20704783886544
371,22,78,170,Male,429,420,397.92675782795374,402.3402720888473
372,22,78,170,Male,397,284,384.31811266531724,384.20704783886544
373,22,78,170,Male,397,390,384.31811266531724,384.20704783886544
374,22,78,170,Male,390,372,381.34122153599054,381.27731903953696
375,22,78,170,Male,331,363,356.2502820173796,393.0334756174935
376,22,78,170,Male,413,419,391.1224352466355,391.4732273066421
377,22,78,170,Male,462,319,411.96067315192255,428.0858811575557
378,22,78,170,Male,413,382,391.1224352466355,391.4732273066421
379,22,78,170,Male,332,396,356.675552178712,392.17209560605045
380,22,78,170,Male,166,391,,
381,22,78,170,Male,397,396,384.31811266531724,384.20704783886544
382,22,78,170,Male,412,412,390.6971650853031,390.9915115700099
383,22,78,170,Male,364,385,370.28419734134843,376.1480619672212
384,22,78,170,Male,397,356,384.31811266531724,384.20704783886544
385,22,78,170,Male,399,402,385.16865298798206,385.06853744670417
386,22,78,170,Male,380,356,377.08851992266665,377.7072913135326
387,22,78,170,Male,397,409,384.31811266531724,384.20704783886544
388,22,78,170,Male,396,359,383.89284250398487,383.7763030349461
389,22,78,170,Male,381,295,377.513790083999,378.06429408613303
39,31,70,175,Male,412,372,388.87502852507345,388.4092706107055
390,22,78,170,Male,362,378,369.4336570186837,376.407689028033
391,22,78,170,Male,380,369,377.08851992266665,377.7072913135326
392,22,78,170,Male,381,337,377.513790083999,378.06429408613303
393,22,78,170,Male,396,405,383.89284250398487,383.7763030349461
394,22,78,170,Male,346,385,362.6293344373654,381.85695871826033
395,22,78,170,Male,381,403,377.513790083999,378.06429408613303
396,22,78,170,Male,396,409,383.89284250398487,383.7763030349461
397,22,78,170,Male,380,296,377.08851992266665,377.7072913135326
398,22,78,170,Male,413,354,391.1224352466355,391.4732273066421
399,22,78,170,Male,395,393,383.4675723426525,383.34555823102676
4,31,70,175,Male,420,397,392.2771898157325,393.38721622730435
40,31,70,175,Male,365,379,368.8873309424511,374.22162693519243
